frame,elapsed_ms,capture_ms,copy_ms,native_texture
0,1.793,311.950,0.373,27
1,5.852,1.130,0.289,19
2,9.030,1.063,0.296,23
3,15.167,0.880,0.276,27
4,23.485,0.971,0.292,19
5,31.819,0.928,0.293,23
6,40.005,0.860,0.287,27
7,48.378,0.879,0.282,19
8,56.802,0.841,0.279,23
9,65.377,1.055,0.298,27
10,73.604,1.008,0.299,19
11,81.810,0.933,0.315,23
12,90.133,0.982,0.316,27
13,98.559,1.030,0.308,19
14,106.937,0.986,0.299,23
15,115.197,0.965,0.290,27
16,123.675,1.075,0.303,19
17,132.033,1.044,0.309,23
18,140.123,0.935,0.295,27
19,148.657,1.035,0.295,19
20,157.079,1.023,0.298,23
21,165.168,0.976,0.298,27
22,173.532,0.889,0.292,19
23,181.823,0.827,0.273,23
24,190.167,0.872,0.286,27
25,198.351,0.816,0.273,19
26,206.750,0.777,0.286,23
27,215.408,0.995,0.308,27
28,223.741,0.972,0.302,19
29,231.992,1.017,0.315,23
30,240.071,0.905,0.294,27
31,248.363,0.848,0.287,19
32,256.877,0.929,0.317,23
33,265.034,0.873,0.299,27
34,273.307,0.873,0.282,19
35,281.750,0.861,0.279,23
36,289.891,0.729,0.283,27
37,298.266,0.714,0.272,19
38,306.710,0.825,0.271,23
39,315.128,0.926,0.294,27
40,323.405,0.936,0.285,19
41,331.785,0.942,0.286,23
42,340.089,0.928,0.274,27
43,348.365,0.912,0.283,19
44,356.794,0.907,0.295,23
45,365.023,0.877,0.282,27
46,373.316,0.811,0.278,19
47,381.738,0.911,0.312,23
48,390.006,0.873,0.302,27
49,398.355,0.916,0.312,19
50,406.728,0.918,0.317,23
51,415.336,1.189,0.312,27
52,423.470,0.859,0.266,19
53,431.799,0.813,0.275,23
54,440.093,0.839,0.291,27
55,448.445,0.942,0.280,19
56,456.801,0.838,0.276,23
57,465.033,0.830,0.273,27
58,473.350,0.766,0.271,19
59,481.759,0.766,0.269,23
60,490.142,0.855,0.293,27
61,498.475,0.858,0.309,19
62,506.830,0.919,0.307,23
63,515.098,0.878,0.306,27
64,523.486,0.981,0.304,19
65,531.829,0.925,0.306,23
66,540.094,0.916,0.292,27
67,548.382,0.877,0.293,19
68,556.838,0.880,0.299,23
69,565.202,0.956,0.312,27
70,573.546,0.968,0.313,19
71,581.639,0.745,0.273,23
72,590.093,0.883,0.277,27
73,598.515,0.915,0.287,19
74,606.833,0.899,0.291,23
75,615.140,0.917,0.278,27
76,623.539,0.911,0.275,19
77,631.875,0.908,0.323,23
78,640.076,0.885,0.299,27
79,648.420,0.912,0.294,19
80,657.081,0.930,0.317,23
81,665.126,0.914,0.309,27
82,673.421,0.890,0.279,19
83,681.809,0.890,0.311,23
84,690.095,0.889,0.298,27
85,698.438,0.915,0.300,19
86,706.786,0.844,0.300,23
87,715.117,0.922,0.295,27
88,723.514,0.989,0.309,19
89,731.818,0.907,0.309,23
90,740.176,0.907,0.302,27
91,748.472,0.932,0.300,19
92,756.848,0.881,0.307,23
93,765.208,0.919,0.302,27
94,773.357,0.795,0.296,19
95,781.704,0.814,0.288,23
96,790.201,0.926,0.305,27
97,798.499,0.913,0.288,19
98,806.849,0.889,0.293,23
99,815.078,0.797,0.282,27
100,823.598,1.003,0.364,19
101,831.753,0.871,0.289,23
102,840.104,0.903,0.275,27
103,848.370,0.860,0.269,19
104,856.875,0.891,0.302,23
105,865.109,0.863,0.307,27
106,873.365,0.835,0.287,19
107,881.827,0.924,0.299,23
